Genes,,,,,,
Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NZ_CP097881.1,1,1404,dnaA,plus,,
NZ_CP097881.1,1409,2509,dnaN,plus,,
NZ_CP097881.1,2509,3582,recF,plus,,
NZ_CP097881.1,3611,6025,gyrB,plus,,
NZ_CP097881.1,6265,6663,yidB,plus,,
NZ_CP097881.1,6778,7590,yidA,plus,,
NZ_CP097881.1,7636,8292,yidX,minus,,
NZ_CP097881.1,8570,9259,dgoR,plus,,
NZ_CP097881.1,9256,10134,dgoK,plus,,
NZ_CP097881.1,10118,10735,dgoA,plus,,
NZ_CP097881.1,10732,11880,dgoD,plus,,
NZ_CP097881.1,11955,13292,dgoT,plus,,
NZ_CP097881.1,13289,14353,cbrA,minus,,
NZ_CP097881.1,14454,15668,yidR,plus,,
NZ_CP097881.1,15670,16002,yidQ,minus,,
NZ_CP097881.1,16308,16721,ibpA,plus,,
NZ_CP097881.1,16833,17261,ibpB,plus,,
NZ_CP097881.1,17457,19118,yidE,plus,,
NZ_CP097881.1,19115,19831,yidP,minus,,
NZ_CP097881.1,20127,21743,,plus,,
NZ_CP097881.1,21743,22557,,plus,,
NZ_CP097881.1,22554,23447,yidL,minus,,
NZ_CP097881.1,23614,25329,yidK,plus,,
NZ_CP097881.1,25326,26819,yidJ,plus,,
NZ_CP097881.1,26866,27315,yidI,minus,,
NZ_CP097881.1,27423,27770,yidH,plus,,
NZ_CP097881.1,27760,28122,yidG,plus,,
NZ_CP097881.1,28119,28616,yidF,plus,,
NZ_CP097881.1,28624,29808,emrD,minus,,
NZ_CP097881.1,29890,29964,ysdE,plus,,
NZ_CP097881.1,30088,30177,tisB,minus,,
NZ_CP097881.1,30742,30840,ivbL,plus,,
NZ_CP097881.1,30946,32634,ilvB,plus,,
NZ_CP097881.1,32638,32928,ilvN,plus,,
NZ_CP097881.1,33004,33594,uhpA,plus,,
NZ_CP097881.1,33594,35096,uhpB,plus,,
NZ_CP097881.1,35106,36425,uhpC,plus,,
NZ_CP097881.1,36563,37954,uhpT,plus,,
NZ_CP097881.1,38000,39766,adeD,minus,,
NZ_CP097881.1,39941,41275,adeQ,plus,,
NZ_CP097881.1,41328,41780,yicN,plus,,
NZ_CP097881.1,41991,43181,nepI,plus,,
NZ_CP097881.1,43222,43515,yicS,minus,,
NZ_CP097881.1,43737,44555,nlpA,plus,,
NZ_CP097881.1,44559,45482,yicL,minus,,
NZ_CP097881.1,45593,46777,setC,minus,,
NZ_CP097881.1,47174,47335,rhuM,minus,,
NZ_CP097881.1,47414,47508,,minus,,
NZ_CP097881.1,47801,49183,yicJ,plus,,
NZ_CP097881.1,49193,51511,yicI,plus,,
NZ_CP097881.1,51564,53273,yicH,minus,,
NZ_CP097881.1,53394,54785,xanP,minus,,
NZ_CP097881.1,55065,56270,gltS,plus,,
NZ_CP097881.1,56439,58520,recG,minus,,
NZ_CP097881.1,58526,59215,trmH,minus,,
NZ_CP097881.1,59222,61330,spoT,minus,,
NZ_CP097881.1,61349,61624,rpoZ,minus,,
NZ_CP097881.1,61679,62302,gmk,minus,,
NZ_CP097881.1,62560,64242,ligB,plus,,
NZ_CP097881.1,64239,64856,yicG,minus,,
NZ_CP097881.1,65146,65970,dinD,minus,,
NZ_CP097881.1,66191,67054,yicC,minus,,
NZ_CP097881.1,67181,67896,rph,plus,,
NZ_CP097881.1,67962,68603,pyrE,plus,,
NZ_CP097881.1,68640,69236,slmA,minus,,
NZ_CP097881.1,69343,69801,dut,minus,,
NZ_CP097881.1,69779,70999,coaBC,minus,,
NZ_CP097881.1,71171,71839,radC,plus,,
NZ_CP097881.1,72056,72292,rpmB,plus,,
NZ_CP097881.1,72313,72480,rpmG,plus,,
NZ_CP097881.1,72578,73387,mutM,plus,,
NZ_CP097881.1,73426,73905,coaD,minus,,
NZ_CP097881.1,73913,75190,waaA,minus,,
NZ_CP097881.1,75596,76666,rfaQ,plus,,
NZ_CP097881.1,76663,77787,rfaG,plus,,
NZ_CP097881.1,77780,78577,rfaP,plus,,
NZ_CP097881.1,78614,79549,rfaS,plus,,
NZ_CP097881.1,79593,80672,waaB,plus,,
NZ_CP097881.1,80672,81691,waaO,plus,,
NZ_CP097881.1,81731,82747,rfaJ,plus,,
NZ_CP097881.1,82765,83463,rfaY,plus,,
NZ_CP097881.1,83534,84385,waaZ,plus,,
NZ_CP097881.1,84418,85491,waaU,plus,,
NZ_CP097881.1,85523,86782,waaL,minus,,
NZ_CP097881.1,86792,87751,rfaC,minus,,
NZ_CP097881.1,87755,88801,rfaF,minus,,
NZ_CP097881.1,88811,89743,rfaD,minus,,
NZ_CP097881.1,90047,90904,yibB,plus,,
NZ_CP097881.1,91179,92375,kbl,plus,,
NZ_CP097881.1,92385,93410,tdh,plus,,
